text,ann,mask_ann
Chapter Material and Methods contain all necessary information.,2,1
The percentage of 87 long COVID (28.7%) then refers to 303 (87/303=28.7%).,0,0
"In particular it is recommended: Below we will respond to the suggestions by reviewer 2 14 Reviewer 2: 1) Make the problematization clearer, exploring what motivates the proposed theoretical study and in which previous studies it is anchored.",0,0
"“In this paper, we analyze the number of multiplications of the existing fast transform methods in the VVC standard, and we propose a new fast inverse transform using the number of non-zero coefficients based on linearity to reduce the number of multiplications.” Comment 2) Discussion Section: The authors did not respond accurately to this comment.",1,1
"Unfortunately, they are enough for me to recommend to reject the paper, as I consider that submitting a report of scientific quality in this form is unacceptable.",0,0
7 (2013): e70286.,1,1
"It is therefore difficult to state that the results were clearly improved or to even compare to other series, without larger numbers and direct comparison or classification of individual tumor locations and characteristics in differing series.",2,1
"Phytopathology, 2021, 111, 1670-1674, doi:10.1094/PHYTO-11-20-0488-R. Point 4: Mycotoxin data analysis should be provided (I guess is policy of mdpi to make raw data available together with the publication) Response 4: Thanks!",1,1
Here monophyly must be understood in a pragmatic way restricted to the given set of input data and the reference taxonomy.,0,0
"“In section VI E. ""Trapping by longitudinal pumping"", one can analytically estimate the threshold value for the transverse pumping.",0,0
"METHODOLOGY This is weak, perhaps too weak for an academic paper.",0,0
Response: We acknowledge the reviewer’s opinion.,0,0
"In the force balance, the drag coeffcient is assumed to be the viscosity of water.",2,1
We hope now we can give a clearer explanation about the motivation of this study.,0,0
3.,0,0
Thank you for pointing out our mistake.,1,1
Patients with an IRS of 6 or higher have a similar bad prognosis compared to patients with an IRS below 5.,1,1
"More specifically, we have provided more detail on transformative social-ecological innovation (see also the new figure 1 on TSEI), on the mutual gains approach and institutional design principles (see new table 1).",1,1
"Regarding dietary nitrate intake from non-vegetable sources, this article states that the intake of red or processed meat decreased over time.",1,1
I find this less than satisfying.,2,1
I suggest “The place of RNA in the origin and early evolution of life”.,2,1
This section demands more attention because there are some empty spaces to fill.,2,1
"Conclusion section is missing some perspective related to the future research work, quantify main research findings, highlight relevance of the work with respect to the field aspect.",2,1
"Answer: Thanks for your advice, and we have added references to support this view, it is added “[30] Huang, W.L.",0,0
3А.,2,1
Figure 4: Increase legend as it is not visible.,2,1
Results”.,0,0
"Introduction: This paper analyses the consistency and robustness of B impact assessment as a certification model that helps companies measure and improve their economic, social, and environmental impact in five different areas: governance, workers, community, environment, and customers.",0,0
"For phase 1: “All participants of the first phase were students from from 1st to 6th year (undergraduate 1st to 2th year, graduate 3th to 6th year) from German Universities.",1,1
Response 4: Thanks for the kind reminder.,0,0
Should all adaptations comply with maximizing energy R5 dissipation?,0,0
Dev.,0,0
I suggest the authors to include a short section including the implications of the study after the conclusions.,0,0
"The mineralogical composition is given in table, but not the grain size distribution.",2,1
Your empirical model needs to be reconsidered.,2,1
The structure is re-constructed in the revised version.,0,0
"As mentioned above, we restructured the introduction section and included new paragraphs to illuminate the importance of the study.",1,1
"Not all abbreviations are listed for the table footnotes (FFM, D2O, DXA, LM, BV, ADP) Added to table 1.",0,0
"Are the research design, questions, hypotheses and methods clearly stated?",4,1
"Issues to improve the paper: The introduction is welldone, but it could be improved in some points.",0,0
"Further, PGRMC1 may interact with proteins associated with endomembrane trafficking/cytoskeleton and mitochondrial functions in decidualizing ESCs [49].",3,1
"in comment #4), while office layout and building form would be considered a physical and architectural parameters.",2,1
"We did our best to double-check, revise, and improve the quality of our papers.",1,1
Critical issues such as the cluster management organisation’s budget and finance have not been addressed.,0,0
The standard curve of concentration was used to determine the sample concentration was established by heavy metal standard (all standards were from The Nonferrous Metals Society of China).” Point 7.,0,0
299-308).,0,0
Line 39 and Section 1 “The place of RNA in LUCA”.,2,1
Do the authors propose to track everyone and then go back to the records of infected people to retrieve their paths and contacts?,0,0
Modified content should be marked in the revised manuscript for easy review by reviewers.,2,1
"My recommendation is to set out a clearer agenda, in which the first part delves into the literature to explain the key issue, key concepts and key dilemmas, and a second part presents solutions and directions meeting the key questions and dilemmas.",2,1
"For example, there are two paper published in two important journals in economics recently that the authors omitted.",2,1
For details see section 2 on page 3-10.,0,0
This is an interesting topic.,0,0
The paper need more attention from the side of the authors.,0,0
"Since the cells glide over a surface and next to other cells, it would seem that cell–cell friction and cell–surface friction might be at least as important as hydrodynamic drag.",2,1
The background is missing.,2,1
"The metric data on yield traits was statistically analyzed and results of ANOVA, heritability and critical differences have been presented in the manuscript.",2,1
"Is, not are · Line 5: insert “the” before “first” and before “TDCS” · Line 14-15: change “a such process” to “these processes” · Line 19: systems (plural) · Line 25: don’t capitalize relativistic · Line 27: Plane is misspelled · Line 29: insert “the” before “non” · Line 31: insert “for the” before “electron-impact” · Line 33: delete comma before “are described” · Line 34: insert “the” before “ground state” · Line 35: either “atoms” (plural) or insert “the” before “hydrogen” · Line 43: insert “the” before “ground state” · Line 44: insert “the” before “hydrogen” · Line 47: “include” would be a better choice for “take” · Line 48: insert “the” before RPWBA and delete the comma · Line 51: insert “the” before “wave” and before “electron” and before “positron” · Line 52: insert “the” before “Dirac” · Line 53: “explain” not explaining · Lines 58-59: insert “a” before “positron” and “an” before “electron” · Lines 63 and 64: insert “The” at start of sentence and before “relativistic” · Lines 67-68: it should be stated that the bold symbols are vectors · Line 69: insert either “the” or “a” before “standard” · Line 70: in the equation, check cpi and cpB in as they view strange in my pdf copy · Line 71: insert “the” before “Non” · Line 73: in equation 7, q needs to be defined · Line 81: insert “the” before “first” · Line 85: either “a consistency check” or “consistency checks” · Line 86: please check with journal whether a comma or period should be used in 1,0053 · Line 86: change “have presented” to “present” · Lines 88-89: insert “the” before “Geometry” , “scattering”, “incident” and “ejected” · Lines 91-92: I suggest deleting the first sentence of this paragraph since, with varying degrees of accuracy, all 3 wave functions can be used, as is shown.",0,0
Are you referring to David Aaker (the father) or Jennifer Aaker (the daughter)?,2,1
"We appreciate the recommendation and updated the molecular docking study by adding more details and literature references as follows, 4.9.",1,1
Which is true?,0,0
"Journal of the American Veterinary Medical Association, 219(4), 460-466.",0,0
Response:,0,0
Biological activated carbon (BAC) combined the adsorption and biologic degradation consuming low power energy and chemicals without concern of DBPs production as well as no frequent updates for activated carbon media.,1,1
"The language the authors use is here a bit imprecise - they seem to be talking about the management of cluster initiatives, not about the management of the policies themselves (which is more a question of how the program oversight is organized within government; also an interesting but different question).",2,1
Point 13:,0,0
"1–15, 2019, doi: 10.3390/su11061584.",1,1
We have improved English language.,3,1
"The supernatant was extracted and analyzed by High Resolution Inductively Coupled Plasma Mass Spectrometry (HR‒ICP‒MS, Nu Attom, England) to determine Mn, Al, Ba, Ti, Ce, V, Sc, and Y. Urine samples (15 mL) were placed in a digestion tube and digested by microwaving with 2 mL of H2O2 and 3 mL of concentrated HNO3.",0,0
"Moreover, in the Discussion section, the authors concluded that “TTFields display efficacy for treatment of HCC in vitro and in vivo, with an optimal frequency of 150 kHz”.",0,0
Fault and surface drainage network mapping (tectonic geomorphology).,0,0
" Line 461: change “onto” to “on to” Thank you, we’ve corrected the typo.",0,0
"We had a problem with uploading the figures and they became distorted, thank you for your comments, we have fixed this and incorporated t and df values.",1,1
"According to the suggestion, section numbering has been checked thoroughly in the revised version of the manuscript.",1,1
But the questionnaire only asked how long the dogs had been alone and what they were doing during this time.,0,0
"Regarding the references, my point was that there are many references *with formatting mistakes in them*, and not that there are too many references in the bibliography.",0,0
"It was not clear to me who is the author of Figure 1, the B Lab, or the authors of this paper?",2,1
Would suggest to use these case studies as a source of ideas on how policies and cluster initiative management might relate to each other; that would make this a more interesting paper.,0,0
Miller et al studied the interaction between RAD51B and D (and also XRCC3) with deletion mutants.,1,1
Response 1:,0,0
This was unfortunately not possible in the present iinnovation project.,0,0
Revised version contains 5 subheading.,0,0
Corrected.,0,0
Thanks again for your suggestion.,1,1
"World Health, 841.",1,1
Figure 1 is updated in this version.,1,1
"2, Photo in table 6 should check the copyright of these photo.",0,0
Building and Environment.,0,0
"Thus, the expectation is that, if a barcoding gap exists in prokaryotes, this should be more easily seen in taxa where groups can be identified also with other methods, as in Cyanobacteria.”",1,1
We would like to thank you for your valuable comments and directions.,4,1
These notions are proposed by the authors and based on their previous work (since they rely on self-citation).,0,0
line 135: How many fruits were used as a bulk of representative fruits?,2,1
The study is interesting and well written.,0,0
We apologize for the inconvenience.,1,1
"representatives of the respective national cluster programs, have not been surveyed as well.",0,0
The authors should accurately address the below comments.,0,0
"; Brants, H.A.",0,0
In Line 266/267 the term “undermine” was wrong.,1,1
I suggest cutting the text from lines 90 to 103 because it’s quite an advertisement for the B Certificate.,2,1
"The exercise is at places compelling, but forgets some recent, very global and exhaustive analyses that also use highly conserved biological features to reconstruct the makeup of LUCA (e.g., gene order, 3D molecular structure, molecular functions).",0,0
9.,0,0
"Line 190: “…moving window sizes (mainly 7, 9 and 11)”.",0,0
I think many cities and countries will not be comfortable with this approach.,2,1
Therefore we have restricted our presentation to the other regime where the jumps are strictly occurring owing to the transverse-longitudinal time modulation of the potential.,0,0
Line 78: Please explain in the text what is “a vacuum treatment control”.,2,1
This has been changed in the revised manuscript.,1,1
"Additionally, a second SNP in the IFITM3 promoter has also been linked to severe flu.",2,1
He reviews some of his previous work and presents an alternative to the dominant ‘Ancient RNA world’ hypothesis.,0,0
On what device was ECL light detected?,0,0
"In this study, the authors investigated the removal efficiency of Biological activated carbon (BAC) and biofilter coupling ultrafiltration (UF) system process for the treatment of surface water contaminated by pharmaceutical and personal care products (PPCPs).",0,0
Comment,0,0
paper (JME 2013) and other critiques of the PWT data.,1,1
"At the physiological level, 42 the symptoms of drought damage include wilting, growth retardation through reduced 43 photosynthetic capacity (especially the lost function of PSII) (Lin, Chiang et al.",0,0
"Reference source not found"" appears.",2,1
"06720, Mexico City, Mexico E-mail: desiree_15@hotmail.com, dradesireelopez@gmail.com Dr. Márquez 162, Col. Doctores, C.P.",0,0
The quality of Figure 1A was rather bad.,2,1
"Fortunately, we have found outstanding results during chemo-sensor study and hopefully we could be able to show the excellent usage of the ligands as a chemo-sensor in near future.",0,0
I am not sufficiently aware of the use f Wigner function but I am sure that there are better and more useful references to quote in addition to ref 17!,0,0
"However, Krishna Hamsa was the common background into which several genes/QTL were targeted from multiple donors and considering the morphological similarity between 27 ILs and Krishna Hamsa, background selection was done retrospectively.",1,1
"In Section I the authors write: ""The mechanism is similar to the ones exploited in the creation of artificial potentials in optical lattices [17]"".",2,1
(h),0,0
"Furthermore, we added supporting arguments disseminated across the text (particularly in lines 348-361, lines 379-389, etc).",1,1
A brief explanation would be appropriate.,2,1
We noticed in footnote 18 in page 18 that some cluster regions may have applied for this program twice or three times after failing in the previous competition.,1,1
"Journal of Management and Governance,12, 309–324 Brammer, S., Millington, A., & Pavelin, S. (2007).",0,0
"However, in the case of the PPCPs with a small molecular weight (typically < 600 Da), UF membranes also cannot effectively reject these PPCPs, but nanofiltration and reverse osmosis are able to remove these PPCPs based on the thin-film composite [11, 12].",1,1
"• Page 15, line 27: Repetition – the IZB incubator was already mentioned on line 9.",0,0
1. inappropriately ends with “2.2.,0,0
"Nine individuals in each group were indicated in the neuroimaging analysis, this should be indicated in the abstract.",0,0
"Weather Views to the outside, operable windows, porches, decks, balconies, colonnades, pavilions, gardens 7.",0,0
Line 135: “impairment water resources” Is this expression appropriate?,2,1
The Wong coevolution theory of the genetic code has been discussed in detail.,1,1
It is not clear if the “simplified” drainage network shown in Figure 2 was also extracted automatically.,2,1
"The XGM2016 and XGM2019 models used the 15′ NGA ground gravity dataset, however, the refined GFMs in this study are obtained by combining the GRACE/GOCE-based GGMs and EGM2008 model, The gravity field information of 5′ terrestrial gravity data in EGM2008 is fully utilized.",2,1
"That is, what impact may underestimating FM, by relying on one particular method, have on child care?",0,0
Nonprofit Management & Leadership 12(4): 429 -450.,0,0
"Concerning the self-related evaluation scales GH and NR, the score range of GH and HR are minimum 4 to maximum 20, and the obtained results illustrate moderately high opinions, the values of 15.00 (2.00) and 14.00 (3.00) for GH and NR.",2,1
"Page 13, lines 409-410, in the conclusion section, the statement which says, ‘This study also found significant differences between those groups indicating differences in subgroups of students from the quantitative survey.’ This is a confusing statement.",0,0
This is because the signal intensity of NMR peaks is related to an -H abundance.,4,1
Please be brief; most of the text is not important for a reader who only wants to get an idea about your paper before reading it.,2,1
The results are of interest to both surgeons and haematologists/haemostaseologists.,0,0
We had made correction carefully (Line 283).,1,1
"In particular it is recommended: Below we will respond to the suggestions by reviewer 2 14 Reviewer 2: 1) Make the problematization clearer, exploring what motivates the proposed theoretical study and in which previous studies it is anchored.",0,0
"Additionally, I note in the paper that I perform an archival analysis of media accounts in an effort to demonstrate how the utilization of the ODPs for analysizing secondary data may better position the analyst to perform rigorous, interogative fieldwork.",1,1
"Two cases serve as quick illustrations, loosely underwriting some key statements.",0,0
"Point 4: Equations 4, 9, and 12 include some corrections and need to be modified.",0,0
"One of the key issues in the Beetaloo Sub-basin, the risk of groundwater contamination from fracking-based production of the unconventional plays.",2,1
"This becomes an issue later, since some aspects referring to biophilic design become unclear.",0,0
Response 4: Thank you.,0,0
"Page 10, Lines 306 and 307: check the 73.85 and 77.00 values.",2,1
"The corresponding Line 570 in the manuscript has been revised to a more accurate expression, emulsion gels.",1,1
"Were behaviors, including different vocalizations, defined for owners?",0,0
This addition has been made.,2,1
Author Response See attachment Author Response File: Author Response.docx,0,0
- The cooperative firm removes adversarial aspects of market contracting (page 11) - what adversarial aspects?,0,0
"The replies to detailed comments are in purples, directly below each comment Frery et al.",0,0
2-3.,2,1
4.,0,0
4- Add a discussion of results section and relate your results with theories.,0,0
"Thank you for pointing this out, we have revised the sentence (see section 4.1).",1,1
"Point 4: Since Annexin V/7-ADD data was not convincing and the authors observed the minor increase of apoptotic cells after HCC cells were treated with combination of TTFields and sorafenib (when compared to the cells treated with TTFields and sorafenib alone), I suggest to run the WBs to examine the expression of the cleaved forms of PARP and caspase-3 (for both HCC cell lines).",0,0
"I don't know if this is the case here, but if they do, including isochore maps would enhance the readers' understanding of basin geometry and -infill.",0,0
"However, I feel that the experiments around this concept were not designed well enough to support their new findings.",0,0
"Figure 1 should be labeled as to what treatments are used in panels A-E. As it is now, the figure on its own cannot possibly be interpreted without the legend.",2,1
We have,1,1
It was corrected.,3,1
The aim of the study as reported in the manuscript was to explore attitudes of 2020 medical students’ generation towards various aspects of eHealth technologies with the focus on AI using an exploratory sequential mixed method analysis.,0,0
Response 4.,0,0
The abstract of the manuscript mentions that dominant modes of third sector organizational governance adhere to a narrow principal-agent orientation.,2,1
(B) The violin plot shows NR2F1 expression in inflammatory CAFs (iCAFs) and myofibroblasts (myCAFs) by immunohistological subtypes in single-cell Cohort 2.,0,0
"In addition, the line-up of the figures (no.",1,1
It was corrected in manuscript,1,1
The authors have adequately addressed my concerns.,2,1
"Page 2, Lines 66 and 67: Write the microorganisms' names in italic.",0,0
This topic is not addressed until the Discussion section (line 395) but should be addressed here in the Methods and Materials section.,0,0
"We appreciate the recommendation and changed the conclusion as follows, Pyrrole and thiophene as organic molecules and their metal cluster derivatives have been recognized to present a wide range of biological activities in recent years.",1,1
"Springelkamp, H.; Wolfs, R.C.",0,0
Can be improved.,0,0
"Such analysis was performed to try to replace the traditional acid hydrolysis, methylation/acetylation and GC-MS used in glycoside analysis.",4,1
"Overall, this is nice work demonstrating the equivalence in efficacy between the LMWH and anti-Xa inhibitor in respect to thrombotic complications.",0,0
"The authors found that owners reported that nearly 10% of dogs that did not show SRB behaviors prior to lockdown were reported to show SRB after lockdown, and the greater the change in the dog’s routine, the greater chance they had of showing new SRB.",0,0
"Also, they should clarify the limitations of the proposed method.",0,0
P6 L176 I am assuming you excluded dogs that were not left alone in February (or were there none?),0,0
1 Response to Reviewer 2 Comments Comments 1 -The paper's aim should be the same in the abstract and the introduction.,0,0
"The whole manuscript is full of ""Error!",0,0
We tried to improve the figures at best- attached is a detailed reply to reviews.,0,0
Man-Whitney U test was used to compare the two groups and p-values are shown in bold for significant results (p < 0.05).,0,0
"Figure 1 provides some insights into this, but these listed attributes span across different domains and the communal features are not that apparent.",0,0
"• Section 4.5: Unlike the regional cluster initiatives in Alsace and Baden, the trinational BioValley initiative has hardly had any impact in terms of intensifying cross-border interaction, confirming problems that KOSCHATZKY (2000) had identified long before.",0,0
"First, it is recommended that the authors provide more information about the selection of the cluster solution.",0,0
Response:,0,0
Revision in Page 3 Line 122-128: “The 24 Biophilic Design Attributes and the 14 Patterns of Biophilic Design are the two mainstream biophilic design which are widely applied in the practical biophilic design projects.,1,1
"PANAS or psychological restoration), instead of design orientated question or survey.",2,1
"Furthermore, there is no discussion of principal-agent literature in a third sector context (see, for example, Jegers, 2009), which is quite surprising since the proposition to go beyond the traditional principal-agent literature is one of the main ideas of the manuscript.",0,0
A deeeping on protein an nucleotide structures was also reported.,0,0
Substituting timing of pubertal status for age may provide more evidence regarding individual characteristics that influence differences in sexual subjectivity and its development over time.,1,1
Line 259.,0,0
I only have some minor comments.,0,0
DOI: 10.1016/j.ejmech.2019.111892Y.,0,0
The reviewer is completely right in adressing this point.,0,0
We agree with you.,1,1
Nonprofit and Voluntary Sector Quarterly 41(3): 431-451.,0,0
"They show that IFITM3 clusters within 1 h of influenza virus infection, prior to increases in the protein’s levels as induced by the infection.",0,0
It can be easily computed by Equation (14) that the number of additions of the proposed method is smaller for all block sizes than those in VTM-8.2.”,0,0
Explaining briefly which and what are the Indian seasons during which experiments have been conducted would help clarity.,0,0
"Nature Sustainability, 3(12), 981-990.",2,1
The phase has been changed into the “analysis” of compounding factors.,1,1
"However, looking at Figure 3, it is obvious that plotted data were from 20 participants.",0,0
"While the section aims to uncover the generative mechanisms behind a ‘transition to a Natural Social Contract’, it lacks focus and thread.",0,0
It explained why we prefer nature because it is an instinct deeply rooted in the human brain.” 2) Literatures are added in the revised version to combine “workplace design” and “Biophilic Design”.,0,0
Was there a way of reproducibly making the same amino acid sequence without translating it from RNA?,0,0
"Energetic, economic and environmental assessment of zero liquid discharge (ZLD) brackish water and seawater desalination systems.",2,1
"visualized by the TSEI framework below, with more attention on three different models for working towards transitions: collaborative governance, evolutionary steering and adaptive governance.",0,0
Citations needed for sentences in line 36 and line 37.,0,0
"Yours sincerely, The Authors",0,0
"These topics should be tied together, or an alternative motivation needs to be presented.",0,0
"Among them, what was the proportion of owners who has not responded to the request afterward?",0,0
We indeed need to add this link- we will put a link in place upon acceptance of the paper Figures Figure 1A.,0,0
"What is the alternative hypothesis of the Pedroni test, that there is cointegration in any country or or in all countries?",2,1
"The manuscript of Eckert et al., submitted into the journal Life, concerns in principle again only one, but very important genetic criterion for evaluation of prokaryotic diversity.",2,1
"Given the number and apparent scope of adaptations of the CIRA method, I am not sure that I am more familiar with CIRA or its advantages having read the paper than I was previously.",2,1
Please presnt it in the paper.,2,1
"The authors write: “In these initial stages, the emergence of bistability will serve as a proxy for the emergence of other chemical novelties in the vesicle reactor model.” The authors probably means that the existence of more than one stable regime could consent regime changes, but this situation do not indicates how these changes appear: in the article, the change is stimulated by means of a deliberated injection of chemical substances from outside.",2,1
Answer to the Reviewer Point 2: The new manuscript has been evaluated by an expert of English language.,0,0
"Results The median oxygen flow rate is shown to be 14 L/min, but FiO2 may vary depending on the method of oxygen delivery (nasal canulae, HNF, MV).",0,0
Were the cells from supernatant counted (where are probably the majority of dead cells)?,2,1
"Remarkably, even reaction systems that have no chemical species in common could become R2 indirectly coupled to each other through the volume they share, by means of a sort of osmotic coupling.",0,0
"38, pp.",0,0
"This may induce financial outcomes for firms that are so negative and diffuse that they could hardly be balanced by the benefits brought with more gender- diverse boards (Bloom 2014, Atsu and Adams 2021).",0,0
Wastewater and public health: the potential of wastewater surveillance for monitoring COVID-19.,1,1
Thank you for your constructive suggestion.,1,1
The 14 Patterns of Biophilic Design has a broader range of usage for all building typologies and is more suitable for general design applications.,0,0
At high ranks CVTree may be more effective in the sense that it does not require additional work.,1,1
"Materials and instruments, you need to specify the particle size of the initial CL-20 powders.",2,1
(2015).,0,0
The data is summarized in Figure 8 (see also comments to Figure 8 below).,0,0
We understand that it might be useful to present the number of treated glaucoma cases in our baseline characteristics table.,1,1
"Serra, M. Villani Mechanism for the formation of density gradients through semipermeable membranes Physical Review E 87, 2013”.",2,1
It has been showed that higher exposure to secondhand smoking increased the risk of smoking.,1,1
This way to present the data questions a lot the quality of experimental work and consequently and importantly the final analysis of data and the concluion claimed by the authors.,2,1
Few minor linguistic glitches have been indicated by annotations in the text.,2,1
"Suddenly, appears one in the Method section, in a paper with a limited presentation of a technical model/certificate from an existed company.",0,0
New subheading (3.2.,0,0
Point 2: 3.,0,0
Author Response,0,0
"The links lead to a non-English website, and also they may become outdated in year or two.",2,1
Yours sincerely Hervé Besançon References 1.,0,0
We thank the reviewer for raising this important issue.,2,1
"I wasn't sure if line 79-80 was needed- about dogs having returned to pre-pandemic pattern, I think it is a little dismissive of your own research which is valuable and applicable beyond the pandemic.",2,1
Overall the information presented it makes sense to me.,0,0
We have reported this case to Refinitiv (Case number: 11297339) and our doubts were confirmed (See their response below).,1,1
"Moreover, the authors need to provide some, at least minimum, evidence or clues that CAF-expressed NR2F1 is responsible for tumor dormancy regulation.",0,0
Figure 3: It is not clear what the axis labels represent in figure 3.,0,0
Reviewer 2 Thank you for your kind comments.,0,0
Lines 281-282.,0,0
We thank the reviewer for the positive review.,1,1
Lessons Learned from 20 years of CBE’s Occupant Surveys.,0,0
"In particular it is recommended: Below we will respond to the suggestions by reviewer 2 14 Reviewer 2: 1) Make the problematization clearer, exploring what motivates the proposed theoretical study and in which previous studies it is anchored.",0,0
Attached below is our detailed response to the comments on our manuscript.,0,0
"In the investigated mode, metal vapors are produced and excited by a pulsed discharge.",0,0
Author Response File: Author Response.pdf,0,0
"of genes / QTLs, which is already represented in column 1) and add the most striking phenotypic data, when possible and relevant for discussion.",0,0
It is better that they replace them with other keywords to increase the reach of the manuscript.,0,0
Point 7: Line 311: plant leaves instead of plants leaves.,0,0
We have added more relevant references in this version.,3,1
[Response],0,0
local gravity mapping while flying).,0,0
This section seems to mix up two important questions.,2,1
S4B would need some compensation work....this would be better to correct before final approval for publication ( up to editor).,2,1
— Done -,0,0
Section 3.2.,0,0
Chung and S. Chu articles.,1,1
"; Nahum Alves, C. Analysis of Kojic Acid Derivatives as Competitive Inhibitors of Tyrosinase: A Molecular Modeling Approach.",0,0
Discussion,0,0
"In describing the action of the optical potential as quasi-random potential kicks, is there some long-term heating effect (i.e.",2,1
Role of remuneration committee in narrative human capital disclosure.,0,0
"Because this key aspect of our treatment can clearly lead to confusion we have modified the following sentence in the conclusions on p19, and added the reference to Horak’s paper: “Chief among these is that the backaction does not alter the frequency of the Bloch oscillations.",0,0
Describe the emulsion blank gel.,2,1
"I find no major problems with the manuscript, either in content or presentation.",0,0
"On page 2 in the introduction the authors claim to apply CIRA to research questions such as finding the root cause of an incident of misconduct in peer review, as well as other potential risks inherent in the process.",0,0
Please be more specific.,0,0
Line 41: Medium instead of media.,0,0
"At first, the soil heavy metal data has been added in the supporting information (Table S4 and S5).",0,0
"The authors extensively study the effects of human serum, human serum albumin, or human pleural fluid on Cefiderocol sensitivity of a panel of A. baumanii strains.",0,0
"Zaid, M. A., Abuhijleh, S. T., & Pucheta‐Martínez, M. C. (2020).",0,0
"Moreover, we include a Table 1 to justify the items used in the Corporate social responsibility disclosure.",0,0
"Ligand and Protein preparation: The structures of L1 and L2 have been fully optimized by using Gaussian 09 software at B3LYP/6-311G+ (d, p) level.",0,0
"Although ‘top-down’ and ‘bottom-up’ have been replaced by public-driven and ‘private-driven’, the dichotomist nature remains as the focus of my critique.",0,0
"The general idea is that these have increased government expenditure, both because per-capita schooling and pensions have expanded and because the dependency ratio has increased.",2,1
"The ideas of CCSI and CMIO seem interesting, but they are discussed with the high-level examples (pages 10-11), not with molecular and cellular examples.",2,1
"It is much preferable to refer to protein abundance, and changes in abundance.",0,0
Author Response Manuscript ID #: Molecules 1583723 Journal: Molecules A detailed point-by-point response to the reviewers' comments We would like to thank the reviewers for the comments and endorsements of our work.,0,0
"; Qassim, A.; Nguyen, T.; Hollitt, G.L.",0,0
Response: ,0,0
I will attach an English proofreading certificate.,1,1
Several formats in which Wagner’s hypothesis has been formulated and tested have been listed on page 5 of the revision.,1,1
"10 µL of ceftriaxone and amphotericin-B solutions containing 50 µg each in DMSO were loaded per disc for antibacterial and antifungal assays as positive control, respectively.",0,0
1 Response to Reviewer 2 Comments Point 1: 2.,0,0
"All comments have been addressed below, and all changes in the revised manuscript have been performed using track changes.",0,0
Study on the effect of sodium humate on solid fermentation of lactobacillus plantarum.,1,1
Response to Reviewer 4 Comments Point 1: Authors should avoid abbreviations in the title and the abstract.,0,0
"This has been put in the appendix, table A1, page 18, thanks for the suggestion The regression analyses “p” value is reported, but the beta values and significance must also be reported.",1,1
We focused on those papers with a choice of instrumental variables that are well explained and papers that ‘’go around’’ the problem by making use of a method that does not rely on external instruments.,1,1
We added : ‘this is due to the different seismic acquisition technics and processing applied in each survey as well as the fact that our interval of interest is shallow and not fitting with the interval of interest the companies tried to best image with those datasets” • Lines 323-324: The authors should explain why low magnitude local seismic signals can be believed to represent permeable pathways promoting water or gas migration.,0,0
"Finally, on a selfish note, I wrote an extensive review piece on this topic (Harden, 2014, ""A Sex-Positive Framework for Reseach on Adolescent Sexuality"" in Perspectives on Psychological Science), and",0,0
"The following sentence has been added at the end of Conclusion: ""For future work we will develop variable stiffness techniques of this joint, and explore its application in a robot arm considering both kinetostatic and transient behaviors.""",0,0
This kind of kinetics means that the levels of autophagy markers will depend on the time point the cells are examined.,1,1
We concur that a brief description of the literature regarding EIH in FM is warranted and have added information to the discussion as follows: “Previous research regarding the effects of acute bouts of exercise on pain sensitivity in FM patients is largely equivocal.,1,1
"Besides, our study focuses on estimating the children’s SIRs of from e‒waste disassembly areas by collecting and analyzing selected tracer elements in matched samples of their consumed food, feces, and urine, as well as soil samples from their play areas.",0,0
In other works the influence of different admixtures in the aqueous solution around the membrane was studied and the values depending on the type and the concentration of it for given lipid were reported.,1,1
Answer: Thank you for your correction.,0,0
Figure 6 Add scale(s).,2,1
"The article is more descriptive in nature, there is no explanation of physical laws, but which are misleading readers.",2,1
"; Rahman, M.M.",0,0
"Overall, the implications of this study are important not only for industrial purposes (reservoir exploration and operation) but also for our basic understanding of subsurface flow processes over geological timescales.",0,0
"Under the long-term effect of high-concentration PPCPs, the dominant microorganisms in the biofilter were selected to survive.",1,1
The paper contains funding information in Yen and Euros.,2,1
"In the meantime, the site has been changed and the directory of certified companies can be found in another link.",1,1
Cell culture.,2,1
"Journal of Materials Science: Materials in Electronics, 2018, 29(7): 5459-71.",0,0
416 and 432 Add C. before pH= .,2,1
"In Results, the separations of text and Figures and Tables is strange (when a paper does it, the trend is to include it at the end of all the paper).",2,1
Point 8: The main objective of the work must be written on the more clear and more concise way at the end of introduction section.,0,0
The digestion process is repeated until the sample becomes sticky.,0,0
"[18] Abedin, T. S. M.; Thompson, L. K.; Miller, D. O.",0,0
We have corrected as recommended.,0,0
"This section now uses the term ‘innovation system’ at the national scale, but there is no discussion of or reference to the concept of national systems of innovation.",2,1
RESPONSE:,0,0
"We initially attempted to use the bending modulus implied from Boal and Ng’s study, however we found that during simulations this value seemed to be too low.",1,1
This point was added in the text.,1,1
"The content is well organized, but the results need some to attract the reader.",2,1
I also recommend visiting GRIMM (http://grimm.ucsd.edu/GRIMM/) and perhaps using the server to confirm or extract additional information from the alignments that are summarized in Figure 1.,2,1
Consider removing labels not referred to in the text.,0,0
Point 12:,0,0
"Table 4 is related to partial correlation analysis with consideration of soil properties, and Figure 4 is related to the principal component analysis (biplot).",1,1
"Please provide greater detail of the scales used, the anchor terms, and how the survey/rating task was administered (online?",0,0
"Accordingly, the legal considerations specified in the first review have been added to the text.",1,1
